epoch,train_loss,train_recon_loss,train_kl_loss,val_loss,val_recon_loss,val_kl_loss,learning_rate,epoch_time
1,188.35515491536458,184.45106513671874,3.9040897810618085,164.151391796875,159.60658376464843,4.544807939147949,0.001,5.432532072067261
2,166.28923030598958,161.43092807617188,4.85830191599528,158.2647181640625,153.32461416015624,4.940103398132324,0.001,3.6735332012176514
3,163.25960035807293,158.17172805989583,5.087872340901693,156.55175959472658,151.44342153320312,5.108337896728516,0.001,3.839945077896118
4,162.0263754231771,156.81538173828125,5.210993135070801,154.87307084960938,149.6405438964844,5.232526518249512,0.001,3.733858823776245
5,160.9149369140625,155.62400013020834,5.2909370697021485,153.78888503417969,148.52310532226562,5.265780213928223,0.001,3.67457914352417
6,160.21662462565104,154.8810202311198,5.335604771931966,153.2333844482422,147.92949780273437,5.3038869445800785,0.001,3.6811368465423584
7,159.56022389322916,154.16078053385417,5.39944333190918,152.96496821289062,147.54441083984375,5.420557695007324,0.001,3.7990362644195557
8,159.04838385416667,153.60747981770834,5.440903743489583,152.15937470703125,146.76362829589843,5.395746961212158,0.001,3.682948112487793
9,158.70791236979167,153.25011666666666,5.457795530192057,151.66011083984375,146.22637351074218,5.433736952972412,0.001,3.695668935775757
10,158.2189732096354,152.72582350260416,5.493149665323894,151.2625805908203,145.85069638671874,5.411884022521972,0.001,3.7226319313049316
11,157.9163614908854,152.4047295247396,5.511631852213542,150.96995981445312,145.50289182128907,5.467067713928222,0.001,3.7245447635650635
12,157.47360802408855,151.924595703125,5.549012482706706,150.46631416015626,144.97489509277344,5.491418801879883,0.001,3.7169361114501953
13,157.20434516601563,151.63325626627605,5.571089208984375,150.01544140625,144.47538759765624,5.540053869628906,0.001,3.750225067138672
14,156.99553050130208,151.4061220377604,5.58940846862793,149.91740380859375,144.36160576171875,5.555798022460937,0.001,3.7699289321899414
15,156.69896909179687,151.05847415364585,5.6404951171875,150.20377961425783,144.6526451904297,5.5511338394165035,0.001,4.046542167663574
16,156.41999225260417,150.7703130859375,5.649679092407227,149.6098265625,144.01771640625,5.592109250640869,0.001,4.275192737579346
17,156.3925813639323,150.72934807942707,5.663233009847005,149.50000378417968,143.92094489746094,5.579058618164063,0.001,3.984846830368042
18,156.17917737630208,150.50347294921875,5.675704354858398,148.98313510742187,143.31297673339844,5.670158586120605,0.001,3.6668288707733154
19,155.92019244791666,150.23931930338543,5.680872892252604,149.0982058105469,143.44878134765625,5.649423721313476,0.001,3.7049410343170166
20,155.6999745768229,150.00538517252605,5.694589482625325,148.69115900878907,143.03701298828125,5.654146389007568,0.001,3.6872589588165283
